source_id,parallax,parallax_error,phot_g_mean_mag,bp_rp,ra,ra_error
1695191332232990720,193.9412326077981,0.6277344,20.199528,3.4400425,226.70263614661923,0.5716503
3316364602541746048,192.01346218785218,0.03095804,9.901327,2.8903284,90.01597644159976,0.022850085
5278042880077383040,191.83624032785028,0.41861156,20.009703,3.511303,124.37351805519963,0.37790695
1129149723913123456,190.32514271529305,0.019362431,9.551337,2.701994,176.9394079814786,0.017805047
5985290231327158144,187.7289806878707,0.04963138,12.7359295,4.2261887,235.1951774625917,0.03586713
3187115498866675456,186.04662779359126,0.027749853,10.649305,3.0327492,75.4868052125233,0.01964642
3741297293732404352,183.99619525468464,0.025324116,7.6105833,2.1149225,206.4405658448607,0.021617748
470826482637310848,181.2730074917688,0.02025858,12.33619,0.44229984,67.81389197465391,0.01467103
470826482637310080,181.24383901243414,0.049853016,9.702565,2.8958826,67.80919062832808,0.03827634
939072613334579328,179.06293491259635,0.027963677,8.863551,2.5611715,103.70012922713916,0.025290458
6882963066420161664,177.93122142191174,0.03653056,10.081701,2.9015598,313.1361327596479,0.031105608
2091177593123254016,175.79296679952537,0.046801604,14.850962,5.1506624,278.90744884954285,0.03599252
3209938366665770752,175.31313655111924,0.020392798,7.1082892,2.121859,82.86754111476276,0.013431494
6305165514134625024,174.02530425165742,1.9005988,20.435377,1.975874,224.97665286074593,1.9253508
2940856402123426176,173.57398583239672,0.017049566,7.3134713,2.0742784,92.64357908167638,0.008222482
2261614264931057664,173.49391001786597,0.07480691,4.449041,0.9943154,293.09759805108064,0.07537425
3340477717172813568,172.67623105398982,0.028589318,10.11378,2.8699055,85.547707594821,0.021720607
6232511606838403968,169.8842702825854,0.06534182,5.3640366,1.3236036,224.37159427348143,0.053909555
5918660719983560192,169.8041953551915,0.046469025,9.592273,2.5847359,266.6334444727895,0.036374
6663600360560306560,169.23508466417934,0.05884779,10.752913,3.0468893,290.20411626707914,0.047061797
2739689239311660672,169.21632962255026,0.028058065,8.152917,2.095766,357.3066038231343,0.025372215
4293318823182081408,169.06150528157374,0.023926072,8.099911,2.378519,289.2276515036191,0.01995468
